CC_ID,Title,Description,Department,Impacted_Systems,Risk_Level
CC-2026-001,"HVAC Filter Upgrade","Upgrade of HEPA filters in cleanroom suite B from H13 to H14 to meet new ISO guidelines.","Engineering","HVAC/Cleanroom Suite B","High"
CC-2026-002,"Cleanroom Air Handling Filter Change","Replacing air handlers particulate filters with H14 grade in Suite C for better particle reduction.","Engineering","AHU-03/Suite C","Medium"
CC-2026-003,"Centrifugal pump replacement","Replace aging centrifugal pump P-102 on the WFI loop with a new sanitary stainless steel model.","Engineering","WFI System","High"
CC-2026-004,"WFI Pump swap","Swapping out the old water for injection circulation pump for an upgraded model to prevent cavitation.","Maintenance","WFI Generation","High"
CC-2026-005,"LIMS Version Update","Upgrading LabWare LIMS from version 7 to version 8 to implement new data integrity features.","IT","LIMS","High"
CC-2026-006,"Lab Information System Patch","Applying security patch 8.1 to the laboratory information management system server.","IT","LIMS","Medium"
CC-2026-007,"SOP-QA-045 Revision","Updating the deviation management SOP to reduce review timelines and integrate electronic signatures.","QA","QMS/Document Control","Low"
CC-2026-008,"Procedure Update for Deviations","Revising the standard operating procedure for handling non-conformances to reflect new e-sig software.","Quality","QMS","Low"
CC-2026-009,"Primary Packaging Foil Supplier Change","Changing the supplier for the blister pack aluminum lidding foil due to supply chain shortages.","Procurement","Blister Line 1","High"
CC-2026-010,"New Aluminum Lidding Source","Qualifying a secondary vendor for blister packaging foil to ensure continuous supply.","Packaging","Packaging Line A","Medium"
CC-2026-011,"RODI Membrane Replacement","Replacing the reverse osmosis membranes in the pre-treatment water system due to declining flux.","Facilities","RO/DI Water System","Medium"
CC-2026-012,"Autoclave Chamber Steam Valve Repair","Repairing the proportional steam inlet valve on Autoclave 2 to fix temperature fluctuations.","Engineering","Autoclave-02","High"
CC-2026-013,"Sterilizer Valve Swap","Swapping the steam feed valve on the floor sterilizer unit after it failed the last preventative maintenance.","Maintenance","Sterilizer-B","Medium"
CC-2026-014,"Empower 3 CDS Database Migration","Migrating the Empower 3 Chromatography Data System database to a new cloud server.","IT","Empower 3 CDS","High"
CC-2026-015,"Chromatography Server Relocation","Moving the CDS data storage backend to AWS for better redundancy and disaster recovery.","IT","CDS","High"
CC-2026-016,"Gowning Procedure Update","Updating the cleanroom gowning procedure to include sterile goggles for Grade B areas.","Manufacturing","Grade B Cleanrooms","Medium"
CC-2026-017,"Cleanroom Attire Policy Change","Modifying the dress code in aseptic processing areas to mandate the use of sterilized eye protection.","QA","Aseptic Core","Medium"
CC-2026-018,"Chiller Unit Overhaul","Complete overhaul of the secondary cooling loop chiller to fix refrigerant leaks.","Facilities","Chilled Water System","Low"
CC-2026-019,"TrackWise QMS User Access Review","Automating the quarterly user access review process for the QMS via a new script.","IT","TrackWise","Low"
CC-2026-020,"Cartoner Vision System Upgrade","Installing a new Cognex camera on the cartoner to verify 2D Datamatrix codes.","Engineering","Cartoner Line 3","Medium"
CC-2026-021,"Serialization Camera Addition","Adding an inspection camera to the packaging line to check the printed serial numbers on cartons.","Packaging","Line 3","Medium"
CC-2026-022,"Master Batch Record Translation","Translating the MBR for Product X from English to Spanish for the new contract manufacturing site.","Tech Transfer","Document Control","Low"
CC-2026-023,"Lyophilizer Condenser Defrost Modification","Modifying the PLC code on the freeze dryer to optimize the condenser defrost cycle time.","Engineering","Lyophilizer-01","High"
CC-2026-024,"Freeze Dryer Software Tweak","Adjusting the control logic for the lyo defrost sequence to save energy and reduce cycle duration.","Engineering","Lyo-01","Medium"
CC-2026-025,"EM Sampling Point Reduction","Reducing the frequency of viable air sampling in non-classified corridors based on historical data.","QC Micro","EM Program","Medium"
CC-2026-026,"Decreasing EM Swab Locations","Removing three surface monitoring locations from the CNC area due to 5 years of zero recoveries.","QC Micro","EM Program","Medium"
CC-2026-027,"Bioreactor Agitator Motor Replacement","Replacing the failing mixing motor on the 500L bioreactor with a VFD compatible unit.","Maintenance","Bioreactor-500L","High"
CC-2026-028,"ERP SAP S/4HANA Implementation","Transitioning from legacy ERP to SAP S/4HANA for inventory and materials management.","Supply Chain","ERP","High"
CC-2026-029,"Extension of Expiry Date for Product Y","Extending the shelf life of Product Y from 24 months to 36 months based on real-time stability data.","Regulatory","Stability Program","High"
CC-2026-030,"TOC Analyzer Installation","Installing an online Total Organic Carbon analyzer on the WFI return loop for real-time monitoring.","Engineering","WFI System","Medium"
